teste;melt_temp;hold_press;mold_temp;warpage
T-111;180;60;20;1.328
T-112;180;60;45;1.328
T-113;180;60;70;1.310
T-121;180;75;20;0.981
T-122;180;75;45;0.989
T-123;180;75;70;0.961
T-131;180;90;20;0.896
T-132;180;90;45;0.789
T-133;180;90;70;0.527
T-211;205;60;20;1.411
T-212;205;60;45;1.433
T-213;205;60;70;1.439
T-221;205;75;20;1.146
T-222;205;75;45;1.181
T-223;205;75;70;1.185
T-231;205;90;20;0.848
T-232;205;90;45;0.893
T-233;205;90;70;0.888
T-311;230;60;20;1.499
T-312;230;60;45;1.517
T-313;230;60;70;1.517
T-321;230;75;20;1.294
T-322;230;75;45;1.320
T-323;230;75;70;1.314
T-331;230;90;20;1.065
T-332;230;90;45;1.100
T-333;230;90;70;1.083
T-411;255;60;20;1.555
T-412;255;60;45;1.564
T-413;255;60;70;1.556
T-421;255;75;20;1.450
T-422;255;75;45;1.464
T-423;255;75;70;1.455
T-431;255;90;20;1.229
T-432;255;90;45;1.232
T-433;255;90;70;1.241
T-511;280;60;20;1.623
T-512;280;60;45;1.642
T-513;280;60;70;1.632
T-521;280;75;20;1.491
T-522;280;75;45;1.514
T-523;280;75;70;1.500
T-531;280;90;20;1.343
T-532;280;90;45;1.368
T-533;280;90;70;1.351
T1;270;80;50;1.440
T2;270;70;40;1.527
T3;260;65;60;1.557
T4;260;78;35;1.417
T5;260;85;65;1.328
T6;250;77;48;1.396
T7;245;82;25;1.280
T8;240;80;56;1.312
T9;213;90;28;1.050
T10;220;82;59;1.162
